,AAPL,ADBE,AMZN,AVGO,BAC,BRK-A,COST,CSCO,CVX,DIS,GOOG,HD,JNJ,JPM,KO,LLY,MA,MSFT,NVDA,PEP,PFE,PG,UNH,V,WFC,WMT,XOM
0,1.243706226348877,1.504412293434143,1.1067811250686646,1.6245372295379639,1.2787110805511475,1.0635077953338623,1.0233234167099,1.0284407138824463,1.1011087894439697,1.0974591970443726,1.1687588691711426,1.1528360843658447,1.0681614875793457,1.0149152278900146,1.3810844421386719,1.0153334140777588,1.1840225458145142,1.3566503524780273,1.1032187938690186,1.038400411605835,1.001051664352417,1.1861011981964111,1.1590288877487183,1.0063002109527588,1.104929804801941,1.0779982805252075,1.5111684799194336
1000,0.9993378520011902,0.9987159371376038,0.9923738241195679,0.9978823661804199,0.9978150129318237,0.9871035218238831,0.9949207305908203,0.9897761940956116,0.9950867891311646,0.9989393353462219,0.9967170357704163,0.9983106255531311,0.9963837265968323,0.9872247576713562,0.9953415393829346,0.9707770943641663,0.9902803897857666,0.9952643513679504,0.9994456171989441,0.9943717122077942,0.9658026695251465,0.9983232021331787,0.9882341623306274,0.9769571423530579,0.9922962784767151,0.9944835901260376,1.002078652381897
2000,0.9957609176635742,0.992010235786438,0.975749671459198,0.9969164133071899,0.9971956610679626,0.9678817391395569,0.9687297344207764,0.9622747898101807,0.9503737688064575,0.9905916452407837,0.9902302026748657,0.9959484338760376,0.9499974846839905,0.9506220817565918,0.9928022027015686,0.943588137626648,0.9734957814216614,0.9914205074310303,0.9598581194877625,0.9711658954620361,0.9101355075836182,0.9955418109893799,0.9824684858322144,0.9324538707733154,0.9593983888626099,0.9845831990242004,1.0015586614608765
3000,0.984316349029541,0.97919100522995,0.9487341642379761,0.9950794577598572,0.9945821166038513,0.8993653059005737,0.9514422416687012,0.9354307055473328,0.9220230579376221,0.9529472589492798,0.9670851826667786,0.9813911318778992,0.9175674915313721,0.9056352376937866,0.9903339743614197,0.9161427021026611,0.934630811214447,0.9866904616355896,0.9205766916275024,0.94898921251297,0.8913068175315857,0.9886448979377747,0.968280017375946,0.9119462370872498,0.9221835732460022,0.9576060771942139,0.9956234693527222
4000,0.9534100890159607,0.9621368646621704,0.9257720708847046,0.9877877235412598,0.9776509404182434,0.841240644454956,0.9352874159812927,0.9157008528709412,0.9035564661026001,0.9229437708854675,0.9458754658699036,0.9677385687828064,0.9065619707107544,0.8892526626586914,0.9891729354858398,0.9089754223823547,0.9015228152275085,0.9701946973800659,0.9058893918991089,0.9350414276123047,0.8835982084274292,0.9732682108879089,0.9489980936050415,0.899253249168396,0.8980775475502014,0.9398645162582397,0.9776316285133362
5000,0.9244825839996338,0.9529540538787842,0.9055398106575012,0.9702227115631104,0.9505612850189209,0.8129449486732483,0.9262197017669678,0.9051319360733032,0.8939067125320435,0.9085838198661804,0.9350693225860596,0.9483391642570496,0.897697389125824,0.8860090374946594,0.9906450510025024,0.9071819186210632,0.8802977204322815,0.9461692571640015,0.8969628214836121,0.9248619675636292,0.8803953528404236,0.9442556500434875,0.9320645928382874,0.8917874097824097,0.8559924364089966,0.9262954592704773,0.9539967179298401
6000,0.912702202796936,0.9302375912666321,0.899853527545929,0.9497780799865723,0.9209372401237488,0.8006837368011475,0.9203053712844849,0.8946050405502319,0.8876892924308777,0.9037613272666931,0.9292742609977722,0.9246062636375427,0.8936718106269836,0.8809479475021362,0.9892758131027222,0.9066029787063599,0.8668726086616516,0.9357000589370728,0.8936678171157837,0.921358048915863,0.8730059266090393,0.9249226450920105,0.9239740967750549,0.8901664614677429,0.8346825838088989,0.9172323346138,0.9294326305389404
7000,0.8962035179138184,0.9064335227012634,0.8963269591331482,0.9410008788108826,0.8829559683799744,0.7933899760246277,0.9165012836456299,0.8794080018997192,0.8826916217803955,0.8999520540237427,0.9204957485198975,0.9168312549591064,0.8916420936584473,0.8741250038146973,0.9854709506034851,0.9026626348495483,0.8540863394737244,0.9297797083854675,0.8922841548919678,0.92017662525177,0.8713824152946472,0.9156240224838257,0.9071604609489441,0.8885543346405029,0.8202731013298035,0.8978803157806396,0.9191067814826965
8000,0.8909002542495728,0.8940633535385132,0.894025981426239,0.9322541356086731,0.8561703562736511,0.7887322306632996,0.9116277098655701,0.8737659454345703,0.8801073431968689,0.8959741592407227,0.9140187501907349,0.9130630493164062,0.8902915120124817,0.8675844669342041,0.9760017991065979,0.9010458588600159,0.8452942967414856,0.9269203543663025,0.8916965126991272,0.9197643995285034,0.8694027066230774,0.9098497629165649,0.9004614949226379,0.8850467205047607,0.8174765110015869,0.882744550704956,0.9126451015472412
9000,0.8887553215026855,0.8902998566627502,0.8923597931861877,0.9268704056739807,0.8332852125167847,0.7865670919418335,0.9084963798522949,0.8721803426742554,0.8790245652198792,0.8905989527702332,0.9080305099487305,0.9108866453170776,0.8886178731918335,0.8628542423248291,0.9678694605827332,0.9005428552627563,0.837052583694458,0.9255469441413879,0.8913007974624634,0.9195488095283508,0.8687505125999451,0.905410647392273,0.8971831798553467,0.8836818337440491,0.8165072798728943,0.876539409160614,0.9094507098197937
10000,0.8879550695419312,0.8818919062614441,0.8913813233375549,0.9194653630256653,0.8311524391174316,0.7838870882987976,0.9067637324333191,0.871607780456543,0.8781061172485352,0.9024961590766907,0.9054501056671143,0.9094874858856201,0.8843497633934021,0.8603640198707581,0.9680467247962952,0.9001108407974243,0.8310989141464233,0.924698531627655,0.8910655975341797,0.9192864298820496,0.8685479760169983,0.9042367339134216,0.8966770768165588,0.8832234144210815,0.8157350420951843,0.8709617853164673,0.906432032585144
